timestamp,p0,p1,p2,p3,adc0,adc1,adc2,adc3,v0,v1,v2,v3,r0,r1,r2,r3,f0,f1,f2,f3,input0,input1,input2,input3,safety,temp,pos,vel,torque
2024-06-03 22:06:20.270,,,,,1651,1651,119,1653,,,,,0,0,29119.393,0,,,,,0,0,0,0,1,31,0.0,0.0,0.0
2024-06-03 22:06:20.332,,,,,1652,1652,77,1653,,,,,0,0,12328.361,0,,,,,0,0,0,0,1,31,0.01,0.0,0.0
2024-06-03 22:06:20.393,,,,,1652,1653,752,1653,,,,,0,0,11715.304,0,,,,,0,0,0,0,1,31,0.07,5.0,0.0
2024-06-03 22:06:20.441,,,,,1652,1653,990,1652,,,,,0,0,0.0,0,,,,,0,0,0.7299974415159614,0,1,31,0.6,18.0,0.0
2024-06-03 22:06:20.494,,,,,1652,1652,797,1654,,,,,0,0,12070.464,0,,,,,0,0,0,0,0,31,1.74,28.0,0.0
2024-06-03 22:06:20.541,,,,,1652,1652,948,1652,,,,,0,0,0.0,0,,,,,0,0,0.5601094441002815,0,0,31,3.28,32.0,0.0
2024-06-03 22:06:20.590,,,,,1651,1651,26,1652,,,,,0,0,40843.31,0,,,,,0,0,0,0,0,31,4.91,34.0,0.0
2024-06-03 22:06:20.637,,,,,1652,1652,1497,1653,,,,,0,0,0.0,0,,,,,0,0,0,0,0,31,6.67,43.0,0.0
2024-06-03 22:06:20.687,,,,,1651,1652,-73,1651,,,,,0,0,18917.755,0,,,,,0,0,2.1535381664255553,0,0,31,9.07,60.0,0.0
2024-06-03 22:06:20.734,,,,,1652,1652,1464,1655,,,,,0,0,4843.545,0,,,,,0,0,0,0,0,31,12.37,79.0,0.0
2024-06-03 22:06:20.782,,,,,1653,1652,887,1652,,,,,0,0,0.0,0,,,,,0,0,0.5740360085528818,0,0,31,16.37,91.0,0.0
2024-06-03 22:06:20.830,,,,,1653,1651,-14,1652,,,,,0,0,47959.726,0,,,,,0,0,0,0.10050251256281406,0,31,20.78,91.0,-3.0
2024-06-03 22:06:20.884,,,,,1653,1653,869,1652,,,,,0,0,0.0,0,,,,,0,0,0.4918778401228513,0,0,31,25.4,83.0,0.0
2024-06-03 22:06:20.936,,,,,1652,1652,680,1653,,,,,0,0,11785.127,200000.0,,,,,0,0,0,0,0,31,29.43,75.0,-3.0
2024-06-03 22:06:20.985,,,,,1653,1652,-78,1650,,,,,0,0,1189.11,0,,,,,0,0,1.2738283193603996,0,0,31,33.27,76.0,0.0
2024-06-03 22:06:21.035,,,,,1652,1652,1055,1653,,,,,0,0,11646.069,0,,,,,0,0,0,0,0,31,37.12,79.0,-3.0
2024-06-03 22:06:21.083,,,,,1653,1653,220,1650,,,,,0,0,14.293,0,,,,,0,0,0.3433070044526751,0,0,31,41.26,85.0,0.0
2024-06-03 22:06:21.133,,,,,1651,1649,332,1652,,,,,0,0,14620.346,200000.0,,,,,0.10050251256281406,0.10050251256281406,0,0,0,31,45.45,87.0,-3.0
